ID	Buffington_201_001	Buffington_201_002	Buffington_201_003	Buffington_201_005	Buffington_201_006	Buffington_201_007	Buffington_201_008	Buffington_201_009	Buffington_201_010	Buffington_201_011	Buffington_201_013	Buffington_201_014
ASV_1	168	3543	1	0	360	0	3665	1	0	0	3517	0
ASV_2	69	2140	0	0	122	0	6945	0	0	1	1346	0
ASV_3	0	0	402	3	0	0	23	0	1	4548	0	0
ASV_4	442	342	415	585	997	344	169	411	305	94	254	599
ASV_5	58	10	366	848	7	409	19	154	1943	160	0	1
ASV_6	14	242	265	358	237	373	140	124	587	10	96	1464
ASV_7	73	54	0	947	164	887	0	0	0	139	0	958
ASV_8	1598	34	9	2	84	1	70	0	370	79	349	209
ASV_9	13	0	0	0	2316	0	0	0	0	0	0	0
ASV_10	0	0	0	0	2082	0	0	125	0	0	0	0
ASV_11	0	42	269	1113	177	35	36	15	317	33	139	0
ASV_12	14	4	59	297	3	657	7	6	28	7	2	879
ASV_13	157	706	0	0	0	0	5	2	0	0	1059	0
ASV_14	39	26	175	350	125	634	60	85	188	7	0	205
ASV_15	0	0	0	0	0	93	0	1308	0	0	0	152
ASV_16	625	0	0	0	0	136	1	117	0	216	323	0
ASV_17	150	1	238	324	1	542	12	37	0	87	1	0
ASV_18	19	24	43	60	65	367	15	231	0	14	0	541
ASV_19	34	0	309	125	8	86	13	217	0	26	6	463
ASV_20	227	0	0	32	572	0	0	0	0	368	40	0
ASV_21	443	0	202	0	420	0	0	0	0	98	39	0
ASV_22	16	311	44	24	25	125	105	19	283	62	38	143
ASV_23	28	0	131	402	112	163	96	1	166	25	61	0
ASV_24	0	133	0	106	627	0	30	0	85	45	5	0
ASV_25	6	0	102	127	15	32	118	181	53	21	22	304
ASV_26	25	31	237	91	38	106	24	56	267	28	25	49
ASV_27	21	33	216	37	59	254	118	0	183	17	7	0
ASV_28	0	59	11	39	260	20	91	9	215	0	116	57
ASV_29	33	0	58	0	286	115	64	2	256	6	48	0
ASV_30	0	0	1	3	1	13	21	0	812	0	0	0
ASV_31	38	108	144	127	82	0	97	13	64	19	136	0
ASV_32	55	0	178	1	61	250	49	2	0	186	13	0
ASV_33	0	0	298	0	0	429	68	0	0	0	0	0
ASV_34	765	0	0	0	0	0	0	0	0	0	0	0
ASV_35	63	22	331	166	47	0	80	0	0	49	6	0
ASV_36	0	0	274	0	0	0	0	1	0	467	0	0
ASV_37	0	0	0	0	0	0	0	557	0	0	0	149
ASV_38	45	0	210	0	0	251	168	0	0	18	0	0
ASV_39	0	105	74	0	0	10	99	22	0	6	109	258
ASV_40	137	0	0	280	0	59	32	0	0	174	0	0
ASV_41	3	0	44	272	3	32	85	204	0	27	0	0
ASV_42	1	0	0	0	0	14	1	31	344	261	0	0
ASV_43	0	511	0	0	0	0	0	0	0	0	140	0
ASV_44	21	0	141	0	39	0	15	0	261	1	156	0
ASV_45	14	0	0	246	5	2	8	3	320	12	0	5
ASV_46	1	91	98	148	4	115	9	0	87	0	58	0
ASV_47	23	2	59	35	3	43	6	9	254	0	1	160
ASV_48	0	572	0	0	0	0	0	0	0	0	18	0
ASV_49	76	0	106	66	38	261	0	14	0	24	4	0
ASV_50	0	0	124	0	0	0	457	0	0	0	0	0
ASV_51	17	0	0	138	0	368	1	3	22	0	27	0
ASV_52	0	201	0	159	0	0	0	0	38	0	0	171
